Index,Kelas,Skenario,Deletion (↓),Insertion (↑),Robustness (↑),Sparsity (↑),Cost (Sec) (↓)
364,VeryMildDemented,SCN-02: LIME (n=2000),0.03715350267564864,0.125508630795349,0.9298479869751226,0.05482700892857143,29.510175466537476
364,VeryMildDemented,SCN-03: SHAP (e=100),0.1878949152538553,0.47400076864287255,0.9574511014178777,0.3125,1.2504024505615234
364,VeryMildDemented,SCN-03: SHAP (e=500),0.1752862658916456,0.3867885173938703,0.9775690163092994,0.1875,6.062967538833618
364,VeryMildDemented,SCN-03: SHAP (e=2000),0.1030365098355105,0.47333112810738387,0.9789981534425471,0.03125,23.792751789093018
189,VeryMildDemented,SCN-01: Grad-CAM,0.6195869499817491,0.602706066519022,0.9247868657112122,0.600227200255102,0.030684947967529297
189,VeryMildDemented,SCN-02: LIME (n=100),0.38807509158726244,0.764320137584582,0.9341744594421715,0.05393016581632653,1.850996971130371
189,VeryMildDemented,SCN-02: LIME (n=500),0.6357300636727358,0.6644639227772131,0.94319145347292,0.08775111607142858,7.3050360679626465
189,VeryMildDemented,SCN-02: LIME (n=2000),0.5488293449976482,0.4693467077850073,0.9417613336672354,0.06128427933673469,29.50708556175232
189,VeryMildDemented,SCN-03: SHAP (e=100),0.3230972865596414,0.6963407695293427,0.8578719537689299,0.03125,1.2305727005004883
189,VeryMildDemented,SCN-03: SHAP (e=500),0.3313342091627419,0.8639314439147712,0.8239866912449056,0.03125,5.949380874633789
189,VeryMildDemented,SCN-03: SHAP (e=2000),0.3857377055101097,0.9557928174734116,0.9559649508203077,0.0390625,23.685402870178223
811,VeryMildDemented,SCN-01: Grad-CAM,0.20355246852705025,0.5960265371948481,0.8911426663398743,0.6725326849489796,0.026973724365234375
